p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,diff_e_feature
3.99E-196,0.556007086,1,1,1.64E-194,1,upstroke_downstroke_ratio_long_square
9.22E-180,0.381692626,1,1,3.78E-178,1,upstroke_downstroke_ratio_ramp
1.53E-47,2.518633018,1,1,6.26E-46,1,vm_for_sag
4.59E-34,3.03845442,1,1,1.88E-32,1,peak_v_short_square
1.61E-243,0.597734997,1,1,6.59E-242,2,f_i_curve_slope
1.64E-201,8.355636491,1,1,6.73E-200,2,threshold_i_ramp
3.49E-201,1.649637096,1,1,1.43E-199,2,threshold_t_ramp
3.52E-201,1.64958305,1,1,1.44E-199,2,peak_t_ramp
1.55E-88,3.984729442,1,1,6.37E-87,2,fast_trough_v_long_square
4.36E-67,3.724051241,1,1,1.79E-65,2,trough_v_long_square
2.28E-23,10.16849782,1,1,9.36E-22,2,threshold_v_ramp
9.36E-30,28.30686793,1,1,3.84E-28,3,upstroke_downstroke_ratio_short_square
4.57E-26,5.519670036,1,1,1.87E-24,3,fast_trough_v_ramp
2.25E-16,3.1035296,1,1,9.22E-15,3,peak_v_long_square
1.48E-08,3.061831435,0.999,1,6.06E-07,3,peak_v_ramp
3.31E-06,2.765861024,1,1,0.000135819,3,fast_trough_v_short_square
9.52E-129,0.731919993,1,1,3.90E-127,4,upstroke_downstroke_ratio_long_square
7.75E-124,0.650664139,1,1,3.18E-122,4,upstroke_downstroke_ratio_ramp
5.83E-73,0.279186777,1,1,2.39E-71,4,fast_trough_t_long_square
1.83E-70,0.276120455,1,1,7.48E-69,4,peak_t_long_square
2.33E-70,0.275983191,1,1,9.57E-69,4,threshold_t_long_square
4.68E-65,0.25246143,1,1,1.92E-63,4,trough_t_long_square
3.00E-08,15.33607837,1,1,1.23E-06,5,trough_v_ramp
7.31E-08,7.767872966,1,1,3.00E-06,5,trough_v_short_square
1.35E-06,58.2727611,1,1,5.52E-05,5,rheobase_sweep_num
3.78E-06,5.706098988,1,1,0.000154992,5,threshold_v_long_square
4.26E-06,45.39968746,1,1,0.00017478,5,thumbnail_sweep_num
1.57E-05,7.534014911,1,1,0.000642906,5,vrest
0.000491533,31.79968972,1,1,0.020152856,5,avg_isi
